name,x_projection,y_projection,x_real,y_real,color
Tuen Mun,234,778,413.3333435058594,915.3333129882812,purple
Siu Hong,234,625,442.3333435058594,819.6666870117188,purple
Tin Shui Wai,291,432,589.7142944335938,599.5714111328125,purple
Long Ping,344,527,697,613,purple
Yuen Long,344,625,746,622.6666870117188,purple
Kam Sheung Road,344,735,902,690,purple
Tsuen Wan West,397,862,1149.6666259765625,1078.3333740234375,purple
Mei Foo,1074.75,990.53125,1292.3333740234375,1252.6666259765625,purple
Nam Cheong,1075.75,1127.03125,1383,1312,purple
Austin,1269.25,1448.53125,1456.3333740234375,1443,purple
East Tsim Sha Tsui,1586.25,1511.53125,1498.3333740234375,1496,purple
Hung Hom,1808.25,1466.53125,1540.6666259765625,1450,purple
Tsuen Wan,397,978,1190.3333740234375,1044.3333740234375,red
Tai Wo Hau,554,978,1229,1061,red
Kwai Hing,690.75,978.53125,1263,1106,red
Kwai Fong,825.75,978.53125,1245.3333740234375,1145.3333740234375,red
Lai King,950,978,1242.3333740234375,1191.3333740234375,red
Mei Foo,1074.75,977.53125,1300.3333740234375,1250.6666259765625,red
Lai Chi Kok,1190,978,1356,1255,red
Cheug Sha Wan,1307,978,1409.6666259765625,1265.6666259765625,red
Sham Shui Po,1460,978,1440,1292,red
Prince Edward,1541.25,1067.53125,1458.6666259765625,1329.6666259765625,red
Mong Kok,1541,1167,1464.6666259765625,1362.6666259765625,red
Yau Ma Tei,1541.25,1268.53125,1470.3333740234375,1396,red
Jordan,1541,1367,1482,1446,red
Tsim Sha Tsui,1541,1467,1486.3333740234375,1488,red
Admiralty,1446.25,1684.03125,1445.3333740234375,1586.6666259765625,red
Central,1293.25,1684.03125,1412.3333740234375,1574.6666259765625,red
Lok Ma Chau,931.75,499.03125,937.7142944335938,221.7142791748047,lightblue
Lo Wu,1026.75,445.03125,1175.7142333984375,144,lightblue
Sheung Shui,1168.75,445.03125,1243.857177734375,294,lightblue
Fanling,1308.75,445.03125,1292,338.5714416503906,lightblue
Tai Wo,1450.75,445.03125,1421.7142333984375,590,lightblue
Tai Po Market,1590.75,445.03125,1473.7142333984375,630.2857055664062,lightblue
University,1753.75,445.03125,1681.7142333984375,801.7142944335938,lightblue
Fo Tan,1819.75,593.03125,1611.5714111328125,911.1428833007812,lightblue
Racecourse,1872.75,593.03125,1642.5714111328125,898.1428833007812,lightblue
Sha Tin,1819.75,709.03125,1559.5714111328125,994,lightblue
Tai Wai,1819.75,823.03125,1507.5714111328125,1056,lightblue
Kowloon Tong,1821.25,990.53125,1504.3333740234375,1257.6666259765625,lightblue
Mong Kok East,1821.25,1167.53125,1489.6666259765625,1346.3333740234375,lightblue
Hung Hom,1821.25,1467.53125,1533.6666259765625,1450,lightblue
Kennedy Town,678.25,1697.03125,1243.6666259765625,1575.6666259765625,darkblue
